battery_id,cycle_number,SoH,Voltage_measured,Current_measured,Temperature_measured,SoC
B0047,1,83.6263218891919,4.246711253516259,0.000252388610586,6.212696115916043,100.0
B0047,1,83.6263218891919,4.203765840004873,-0.20733536436524924,6.237383485783634,99.95210255884462
B0047,1,83.6263218891919,4.037456172280089,-0.995244237140448,6.255036587308566,99.74970089413637
B0047,1,83.6263218891919,4.01913984045247,-0.9966344230960417,6.303654371774966,99.54702028002227
B0047,1,83.6263218891919,4.0054830854739345,-0.993034387135345,6.358741145740224,99.34510881886068
B0047,1,83.6263218891919,3.9942961440243967,-0.9955817684329791,6.395109470689134,99.14259784363239
B0047,1,83.6263218891919,3.984293993789798,-0.9949040029096996,6.264365436393512,98.94028214009217
B0047,1,83.6263218891919,3.974953925047717,-0.9977210304534728,6.047644138735451,98.73733354872057
B0047,1,83.6263218891919,3.9665208280007396,-0.9956112861499045,5.898260816988636,98.53490458176181
B0047,1,83.6263218891919,3.9586483556527905,-0.9939296167425695,5.805368679557915,98.33277565190782
B0047,1,83.6263218891919,3.9513360905147876,-0.9939726545282014,5.7062744618302945,98.13063217301882
B0047,1,83.6263218891919,3.944510911980127,-0.9946310156875753,5.613219324926231,97.92834982282281
B0047,1,83.6263218891919,3.9379485584906875,-0.9953977374678904,5.548845094768819,97.72591610631626
B0047,1,83.6263218891919,3.9316459021182,-0.9951455052531487,5.495629360014349,97.52354446201818
B0047,1,83.6263218891919,3.9256818064397923,-0.9943560413783035,5.435263151825899,97.32132181476744
B0047,1,83.6263218891919,3.9199320420751023,-0.9953840399859559,5.36517857752082,97.11888944246053
B0047,1,83.6263218891919,3.9143950019579474,-0.9963636226496791,5.308573241770506,96.91626529758808
B0047,1,83.6263218891919,3.9092114243526734,-0.9951036275955067,5.266501859504803,96.71389526167471
B0047,1,83.6263218891919,3.9041151007578763,-0.9944536065224877,5.173860376269116,96.51165643323408
B0047,1,83.6263218891919,3.8992579093045405,-0.995170700329156,5.131429259385801,96.30926406840253
B0047,1,83.6263218891919,3.8943691376864864,-0.9956859062025856,5.02215840738534,96.10676794835727
B0047,1,83.6263218891919,3.8897138963046762,-0.9944676477378708,5.043384679118059,95.90454514425859
B0047,1,83.6263218891919,3.885467647213711,-0.994353325306343,5.195435728872225,95.70232447316883
B0047,1,83.6263218891919,3.881437025200596,-0.9958063589505057,5.341598078504821,95.49979028882176
B0047,1,83.6263218891919,3.8777155039795472,-0.996288204419579,5.465618479408652,95.29718076667737
B0047,1,83.6263218891919,3.8742534356697496,-0.9949474347588684,5.583541522376826,95.09485920185804
B0047,1,83.6263218891919,3.870943400445047,-0.9951318567735209,5.697444964420503,94.8924649765099
B0047,1,83.6263218891919,3.867831975240673,-0.995855706284437,5.789818961183377,94.68994832702467
B0047,1,83.6263218891919,3.864925875141317,-0.9948641030253393,5.8626973254460015,94.48763001034008
B0047,1,83.6263218891919,3.862217530996189,-0.9946363734661555,5.932915242511648,94.28535033367345
B0047,1,83.6263218891919,3.859712579598257,-0.994881759341528,5.9883411443965935,94.08303043400873
B0047,1,83.6263218891919,3.8569603566992696,-0.9936234227177205,6.050005162282616,93.88095890697326
B0047,1,83.6263218891919,3.8544384583330813,-0.9942958952410226,6.120514040436152,93.67875109738796
B0047,1,83.6263218891919,3.851919104320315,-0.9950663462798581,6.192134378525699,93.47638774205333
B0047,1,83.6263218891919,3.8496708686467174,-0.9952020116994225,6.227707630591002,93.27399605474935
B0047,1,83.6263218891919,3.8474483226161045,-0.99510553525071,6.290405429702673,93.07162616558334
B0047,1,83.6263218891919,3.845352099491679,-0.9957437494003575,6.3342097778310675,92.86911564693719
B0047,1,83.6263218891919,3.843231387667184,-0.9956804722620493,6.382642193017358,92.6666299204492
B0047,1,83.6263218891919,3.8412247523514806,-0.9962560392682521,6.4396991689589,92.46401569242374
B0047,1,83.6263218891919,3.8392065319788573,-0.9970037805738066,6.49730791630027,92.2612514902797
B0047,1,83.6263218891919,3.8372790002519306,-0.9969326202963209,6.550966890733058,92.05851361073032
